Original Tweets
~~~~~~~~~~~~~~~
H---UniqueAfrika (Wed, 19 May 2010 23:35:51 +0000):	Omg usually I hate my job but for some odd reason I'm having a blast. #whosmad lmaoooo
UniqueAfrika (Fri, 04 Jun 2010 14:42:05 +0000):	I swaer mediatakeout be killing me with their stories. Lmaooooo
UniqueAfrika (Fri, 04 Jun 2010 14:44:24 +0000):	Y is mia lieing to me telling me @RealImage outside. She got me the first time not the second tho.
UniqueAfrika (Fri, 04 Jun 2010 14:45:50 +0000):	Where is brownie at aka @viceeeVERSA she kill wen she act so fuccin busy. Bish u kno u aight doin shit. Lmao wtf
UniqueAfrika (Fri, 04 Jun 2010 14:46:06 +0000):	RT @mZladyclassy: I kant wait till he gets here. He's an architect. He gunna giv me a layout. N construct my (cont) http://tl.gd/1lvbvs
UniqueAfrika (Fri, 04 Jun 2010 14:47:25 +0000):	I just got the urge to argue let me call @RealImage lmaoo.
UniqueAfrika (Fri, 04 Jun 2010 14:59:00 +0000):	Everytime I get up in the morning my right eye always hurt wtf??
UniqueAfrika (Fri, 04 Jun 2010 15:01:42 +0000):	Omfg mia has on rain boots 24/7 365 days. She don't give a fuck if its 90 degrees outside she love those rain (cont) http://tl.gd/1lvmp7
UniqueAfrika (Fri, 04 Jun 2010 15:03:01 +0000):	First thing in the morning wen she wake up is &quot;mommy where my boots&quot; lmaooo like #cmonson u can't be (cont) http://tl.gd/1lvnir
UniqueAfrika (Fri, 04 Jun 2010 15:03:57 +0000):	Imma twit pic dem shits in a few.lmaoo
UniqueAfrika (Fri, 04 Jun 2010 15:10:45 +0000):	There the go. Lmaoooo. http://tweetphoto.com/25526257
UniqueAfrika (Fri, 04 Jun 2010 15:13:43 +0000):	&quot;Give to elmo , smile for the camera, looking good. U look marvelous. That's going on elmos wall, work it baby work it&quot;. Lmaoooo
UniqueAfrika (Fri, 04 Jun 2010 15:29:04 +0000):	RT @WillySkilly: This is my first ever http://twitpic.com/1tuk3z** I'm about to eat a bowl of that rite now
UniqueAfrika (Fri, 04 Jun 2010 15:29:47 +0000):	RT @QUANPLAYMAKER: RT @MzKimVuitton #ff one of thee my honest promoters I kno @QUANPLAYMAKER.... I LOVE HIM!! ☺** 2nd that
UniqueAfrika (Fri, 04 Jun 2010 15:31:50 +0000):	Wait pause hold on I have been sensing a lot of flirting going on between @WillySkilly and @iStanie. I mean I could be wrong lmao
UniqueAfrika (Fri, 04 Jun 2010 15:47:08 +0000):	RT @iStanie: think i mite take a nap... or maybe not idk** yo why the fuck are u always taking a nap. Are u pregnant
UniqueAfrika (Fri, 04 Jun 2010 19:04:30 +0000):	Its crazy but every year for my bday @RealImage is the only person I expect to buy me a gift. Lmaooooo.
UniqueAfrika (Fri, 04 Jun 2010 19:08:38 +0000):	RT @RealImage: @UniqueAfrika u'll find out n 6 more days!!!:p** boooooooooo u suck.
UniqueAfrika (Sat, 05 Jun 2010 02:49:16 +0000):	Finally off
UniqueAfrika (Sun, 06 Jun 2010 09:12:11 +0000):	RT @FueleDbyMannY: @UniqueAfrika she's going crazy!!** lol I kno
UniqueAfrika (Sun, 06 Jun 2010 13:58:07 +0000):	RT @ThaRealNJGuttah: Morning @UniqueAfrika** morning sweetie pie lol
UniqueAfrika (Sun, 06 Jun 2010 14:17:00 +0000):	RT @_VeniVediVici_: @UniqueAfrika at a ree ree center** lmao whatever
UniqueAfrika (Sun, 06 Jun 2010 14:48:01 +0000):	RT @ItsEasyBaby: @UniqueAfrika Only if it says color safe!** thanks so much.
UniqueAfrika (Sun, 06 Jun 2010 14:50:24 +0000):	They def gased the shit outta him in this song.
UniqueAfrika (Sun, 06 Jun 2010 14:54:24 +0000):	Now following @Hakeem45
UniqueAfrika (Mon, 07 Jun 2010 00:37:15 +0000):	I bet u he hatain let me ask him where he from
UniqueAfrika (Mon, 07 Jun 2010 00:43:55 +0000):	Omg I told yall he was haitain. Clingy ass muthafuckers lmaoooooooooooo
UniqueAfrika (Mon, 07 Jun 2010 01:24:56 +0000):	@mZladyclassy http://tweetphoto.com/26004521 ** omg did yall forget who this lil girl mother is. Lmao
UniqueAfrika (Mon, 07 Jun 2010 01:36:29 +0000):	RT @prinban: Mtv awards is on who's watching** nobody lmao
UniqueAfrika (Mon, 07 Jun 2010 01:38:49 +0000):	Do anyone of my followers have crocks I can use for tomorrow. I need yall help.
UniqueAfrika (Mon, 07 Jun 2010 01:52:11 +0000):	I hate wen I kno wat I'm talking about but a person trynna make it sound like I'm crazy. I'm pissed to the (cont) http://tl.gd/1nf5jg
UniqueAfrika (Mon, 07 Jun 2010 01:57:02 +0000):	Omg omg omg I just found out wat rick ross twitter was. Whoooo hooooo. #groupietweet so fuccin wat I don't care lol
UniqueAfrika (Mon, 07 Jun 2010 01:58:26 +0000):	RT @OXjuiicyOX: @UniqueAfrika 1st dayy w.o my babyy** who that african boy??
UniqueAfrika (Mon, 07 Jun 2010 02:03:22 +0000):	She rocking my shoes. Smh http://tweetphoto.com/26015455
UniqueAfrika (Mon, 07 Jun 2010 02:05:00 +0000):	@viceeeVERSA wtf happened to u my nigg??
UniqueAfrika (Mon, 07 Jun 2010 02:06:43 +0000):	RT @iStanie: @UniqueAfrika ima marry my African princess!!** lmaoooooooooo &quot;wat u talking about willis&quot;
UniqueAfrika (Mon, 07 Jun 2010 02:10:17 +0000):	So none of u guys have crocks I can borrow fuck yall then. #angrytweet
UniqueAfrika (Mon, 07 Jun 2010 02:11:17 +0000):	RT @viceeeVERSA: @UniqueAfrika i didn't get a whip till just now , but yea you were home all day ?.** duhhh (cont) http://tl.gd/1nfe0j
UniqueAfrika (Mon, 07 Jun 2010 02:12:27 +0000):	RT @iStanie: @UniqueAfrika lmaoooo!! u kno wat im talkin bout!! lol** nope have no recollection wat so ever.
UniqueAfrika (Mon, 07 Jun 2010 02:13:02 +0000):	Where is @RealImage. I bet u she. Nevermind. Lmao
UniqueAfrika (Mon, 07 Jun 2010 02:14:11 +0000):	RT @OXjuiicyOX: @UniqueAfrika yeaa follow him @DANNYKG** man I aint got time for that. Lmao. He went back to skool?
UniqueAfrika (Mon, 07 Jun 2010 02:17:18 +0000):	RT @iStanie: @UniqueAfrika homeboy that was talkin to Vonna last nite** damn son I knew who u where talking (cont) http://tl.gd/1nfgrh
UniqueAfrika (Mon, 07 Jun 2010 02:18:51 +0000):	RT @ThaRealNJGuttah: Well are you hahaha RT @UniqueAfrika: #textthatgetnoreply &quot;are u a freak&quot; boy bye** lmaooo smh
UniqueAfrika (Mon, 07 Jun 2010 02:23:48 +0000):	RT @iStanie: @UniqueAfrika lmaoooo!! i thought u really forgot!! i guess i was havin a @dimelovely moment lol** (cont) http://tl.gd/1nfjqh
UniqueAfrika (Mon, 07 Jun 2010 02:25:47 +0000):	Can u guys teach me that dance moves in that ride video. I'm trynna do that shit sat at redzone. I'm dead serious lol
UniqueAfrika (Mon, 07 Jun 2010 02:33:07 +0000):	RT @_VeniVediVici_: Are we friends on fb @uniqueafrika?** naw but I saw the video u did ur thing. U aight average cabbage. Lol #jealoustweet
UniqueAfrika (Mon, 07 Jun 2010 02:34:54 +0000):	RT @iStanie: all @UniqueAfrika knows how to do is two step to evry song lol** lmao u already kno. Thats wat happen wen u can't dance.
UniqueAfrika (Mon, 07 Jun 2010 02:39:37 +0000):	RT @rickyrozay: We killed hot97 summerjam!!!!!!!!rozayyyyyy** I bet u did babes
UniqueAfrika (Mon, 07 Jun 2010 02:43:39 +0000):	@_VeniVediVici_ **u posted the link on twitter so I checked it out.
UniqueAfrika (Mon, 07 Jun 2010 03:15:01 +0000):	@RepoDon dummy I'm talking about the lakers. Ur sense of humor is down the fuccin toilet goodbye. Ugh
UniqueAfrika (Tue, 08 Jun 2010 02:14:38 +0000):	RT @mZladyclassy: Aunti perm voice is madd aggi.**lmaoooooooooooooooooo
UniqueAfrika (Tue, 08 Jun 2010 02:37:01 +0000):	I haven't been in the house all say. Its truly a blessen to come home and chop it up with mia. I really missed her.
UniqueAfrika (Tue, 08 Jun 2010 02:48:41 +0000):	So my grandma just told me that my old manager call. Wtf he want
UniqueAfrika (Tue, 08 Jun 2010 02:53:26 +0000):	RT @RealImage: Hmmm I wonder too RT @UniqueAfrika: So my grandma just told me that my old manager call. Wtf he (cont) http://tl.gd/1o51ve
UniqueAfrika (Tue, 08 Jun 2010 02:54:24 +0000):	I'm in an uncomfortable situation at my job rite now. I think imma quit real fast.
UniqueAfrika (Tue, 08 Jun 2010 02:57:59 +0000):	RT @viceeeVERSA: @UniqueAfrika the new one ?.**yea
UniqueAfrika (Wed, 09 Jun 2010 00:04:00 +0000):	RT @iqotta_PULLBACK: got 1 bitch @ subway &amp; 1 @ american eagle....wavey** which subway??
UniqueAfrika (Wed, 09 Jun 2010 00:11:15 +0000):	RT @mZladyclassy: YeA.. Just left him..... AHhhhH. ♥** man stfu lmaooo
UniqueAfrika (Wed, 09 Jun 2010 00:12:20 +0000):	RT @iqotta_PULLBACK: #idonotsupport havin a big ass chain w/o bein famous** that was a subliminal tweet. Lmao
UniqueAfrika (Wed, 09 Jun 2010 00:41:06 +0000):	@mZladyclassy ** besides @damnnadriane u the next person that is faithful as all hell. Lmaoooooooooo
UniqueAfrika (Wed, 09 Jun 2010 14:34:41 +0000):	RT @mZladyclassy: YAY!!!!!!!!!!!! N my moms b day tooooo ** RT @UniqueAfrika: Tomorrow is my bday** awwww yea geminis are the best.
UniqueAfrika (Wed, 09 Jun 2010 14:35:26 +0000):	RT @mZladyclassy: Ok soo I'm tryna party friday and sat.....** where the party at friday??
UniqueAfrika (Thu, 10 Jun 2010 20:03:50 +0000):	I still have a 50 dollar gift card to olive garden.
UniqueAfrika (Thu, 10 Jun 2010 20:04:52 +0000):	RT @rickyrozay: IN STUDIO..SMOKING ANTHRAX..NO SHIRT..4 CHAINS...3 CELL PHONES..**
UniqueAfrika (Thu, 10 Jun 2010 20:10:27 +0000):	RT @damnnadriane: RT @UniqueAfrika: I still have a 50 dollar gift card to olive garden. « Let's go ! Lol ya (cont) http://tl.gd/1pv1vp
UniqueAfrika (Thu, 10 Jun 2010 23:06:38 +0000):	@iStanie ** wen did she have the babyyyyyy
UniqueAfrika (Fri, 11 Jun 2010 03:11:55 +0000):	@StackCream is cool as hell lol
UniqueAfrika (Fri, 11 Jun 2010 03:46:37 +0000):	RT @NmyPollyPockets: kay i can go back to being a lady** pls do. Lol u mouth is filthy
UniqueAfrika (Fri, 11 Jun 2010 03:57:25 +0000):	RT @RealImage: @UniqueAfrika I went 2 look at it seems as tho he feelin himself** lmaoooo homeboy is hot
UniqueAfrika (Fri, 11 Jun 2010 13:17:16 +0000):	Hey hey, hey daddy @rickyrozay
UniqueAfrika (Fri, 11 Jun 2010 13:36:31 +0000):	RT @OXjuiicyOX: @UniqueAfrika OMG.... My sonn 20 noww lol** man I aint eff with u. U aint even wish me happy bday yesterday
UniqueAfrika (Fri, 11 Jun 2010 15:22:08 +0000):	Omg I can't believe this shit. If its not one thing its another
UniqueAfrika (Fri, 11 Jun 2010 20:18:14 +0000):	Ok I'm about to take a nap. Feeling very blue
UniqueAfrika (Sat, 12 Jun 2010 03:08:19 +0000):	@RealImage and @viceeeVERSA I did it yall. I figure it out. Now I'm chilling lmao
UniqueAfrika (Sat, 12 Jun 2010 03:29:50 +0000):	RT @RealImage: #WhenIWassLittle I use 2 wear braces** o shit I didn't even kno that lmao
UniqueAfrika (Sat, 12 Jun 2010 03:36:04 +0000):	RT @ThaRealNJGuttah: #WhenIWassLittle I use to think will smith was real rap and puff daddy was my fav rapper #dead lmao** lmaooooooooo
UniqueAfrika (Sat, 12 Jun 2010 03:53:18 +0000):	Being that I have to stay up and wait I might as well do this tt then lol
UniqueAfrika (Sat, 12 Jun 2010 03:55:00 +0000):	#wheniwaslittle I kissed this girl name regina.
UniqueAfrika (Sat, 12 Jun 2010 03:55:56 +0000):	#wheniwaslittle my mother whopped my ass cuz I stole some money to buy bananas. Lmao I will never forget.
UniqueAfrika (Sat, 12 Jun 2010 03:57:08 +0000):	#wheniwaslittle I caught my mother and her bf naked in the bed. Wen she ask me did I c them naked I lied and (cont) http://tl.gd/1qq9l7
UniqueAfrika (Sat, 12 Jun 2010 03:59:43 +0000):	#whenIwaslittle everytime I'm about to get a beating I always use to run. My mother use to tell my brother to (cont) http://tl.gd/1qqb3p
UniqueAfrika (Sat, 12 Jun 2010 04:04:18 +0000):	#wheniwaslittle I had a low cut. And o yea I had a brush too so that my waves could be spinning I had the sideburns and all. Lmao
UniqueAfrika (Sat, 12 Jun 2010 04:26:28 +0000):	Pissing me off some more. Ughhhhhh
UniqueAfrika (Sat, 12 Jun 2010 13:23:38 +0000):	What do u do wen love is lost
UniqueAfrika (Sat, 12 Jun 2010 13:24:43 +0000):	RT @_VeniVediVici_: Goin to dunkin donuts..y'all want something??** yea. Strawberry coolata with a plain bagel (cont) http://tl.gd/1r3gg8
UniqueAfrika (Sat, 12 Jun 2010 13:26:23 +0000):	Lmao @ANTSKILLZ o shit I just read ur tweet over. U don't kno that. He is gonna reply back. Lmaooooo. Stfu
UniqueAfrika (Sat, 12 Jun 2010 16:54:45 +0000):	Taking a nice walk with my other half.
UniqueAfrika (Sat, 12 Jun 2010 17:03:20 +0000):	Lmaooooo so I'm walking with my daughter so this man was trying to talk to me. He like&quot; ma can I get a minute of ur time&quot;
UniqueAfrika (Sat, 12 Jun 2010 17:04:22 +0000):	Then my daughter goes &quot;NO&quot; lmao and she told him to shut up. Hahahah. She is too much
UniqueAfrika (Sat, 12 Jun 2010 17:48:12 +0000):	Getting ready to go get my hair dun. So excited about tonite. Hopefully everything go as planned
UniqueAfrika (Sat, 12 Jun 2010 21:39:54 +0000):	Smfh rite now.
UniqueAfrika (Sun, 13 Jun 2010 05:42:18 +0000):	Lmao I meant with my girls.
UniqueAfrika (Sun, 13 Jun 2010 14:46:02 +0000):	RT @OuttaLeftField: Like they really couldn't find a Ghanaian to coach they national team?** that's wat I'm sayin.
UniqueAfrika (Sun, 13 Jun 2010 14:48:49 +0000):	All I'm asking this lil girl is to come take a bath. She has been finding every excuse in the book not to take one. Wtf
UniqueAfrika (Sun, 13 Jun 2010 14:49:18 +0000):	RT @ThaRealNJGuttah: @UniqueAfrika tell me anything lol** lmao whatever
UniqueAfrika (Sun, 13 Jun 2010 14:51:58 +0000):	Lmaooooooooooo people are just too funny to me.
UniqueAfrika (Sun, 13 Jun 2010 14:52:51 +0000):	RT @ThaRealNJGuttah: @UniqueAfrika how was ur night last night tho?** I had hella fun. I was even dancing. (cont) http://tl.gd/1rqb1r
UniqueAfrika (Sun, 13 Jun 2010 14:55:46 +0000):	This lil girl is been extremely aggy
UniqueAfrika (Sun, 13 Jun 2010 15:01:56 +0000):	Damn I almost forgot. Hey hey, hey daddy to @rickyrozay. Love u muahhhhhh
UniqueAfrika (Sun, 13 Jun 2010 15:02:53 +0000):	RT @iqotta_PULLBACK: &quot;God is gud all the time &amp;...all the time God is good. That's how it goes rite?? Lol
UniqueAfrika (Sun, 13 Jun 2010 15:44:04 +0000):	Whooooooo hoooooooo ghanaaaaaaaaaaaaaaaaaaaaa
UniqueAfrika (Sun, 13 Jun 2010 15:49:59 +0000):	RT @BabyAfrica24: GHANA MEANS BUSSINESS!!!! WORLD CUP HERE WE COME!!!! WE KEEPING THE TROPHY IN Africa
UniqueAfrika (Sun, 13 Jun 2010 16:31:52 +0000):	Look at my niece she on her way to her ballet recital. So adorable. http://tweetphoto.com/27058918
UniqueAfrika (Sun, 13 Jun 2010 16:45:52 +0000):	RT @RealImage: I'm not African bt I effes with Ghana heavy !!!! Yayyyyyyyy....lol**lmao u already kno
UniqueAfrika (Sun, 13 Jun 2010 17:16:14 +0000):	RT @BlipBeven: Why are there no #TT** make one urself. U have enough followers for that.
UniqueAfrika (Sun, 13 Jun 2010 17:22:04 +0000):	RT @WillySkilly: I know Accra streets look like a zoooo right now...!!!**word. Omg I wish I was there rite now
UniqueAfrika (Sun, 13 Jun 2010 17:23:02 +0000):	RT @_VeniVediVici_: RT @DoyinakaLyricaL: congrats to ghanaa
UniqueAfrika (Sun, 13 Jun 2010 17:31:59 +0000):	RT @viceeeVERSA: @RealImage ohh fckin no , lols !** say ahhhhhhh lmaoooooooo
UniqueAfrika (Sun, 13 Jun 2010 17:50:38 +0000):	RT @_VeniVediVici_: &quot;I don't need this! My man has 2 jobs!! 2!&quot; Lol** lmaooooooo
UniqueAfrika (Sun, 13 Jun 2010 19:57:49 +0000):	Recital is over. I wanna go out somewhere. Like to eat or something
UniqueAfrika (Sun, 13 Jun 2010 20:25:25 +0000):	RT @ANTSKILLZ: If I was next 2 u right now wat wud u do DM if u want lol** lmaoooooo man #siturassdown.com.
UniqueAfrika (Mon, 14 Jun 2010 00:55:25 +0000):	RT @iStanie: @UniqueAfrika i like how ya been leavin me out the cut like.. its all good tho *turns n walks (cont) http://tl.gd/1s2aq0
UniqueAfrika (Mon, 14 Jun 2010 00:57:16 +0000):	RT @viceeeVERSA: @UniqueAfrika yeaaaa , what time we'll chit chatter . lolss .** lol wen she get off
UniqueAfrika (Mon, 14 Jun 2010 00:58:52 +0000):	RT @iStanie: @UniqueAfrika lmao!! *jus shake my head n keeps walkin* lol sike na.. dont nobody hit me up no (cont) http://tl.gd/1s2c52
UniqueAfrika (Mon, 14 Jun 2010 01:03:48 +0000):	Damn I hate my pride sometimes.
UniqueAfrika (Mon, 14 Jun 2010 01:41:12 +0000):	RT @_VeniVediVici_: #ShoutOutToTheMen with 2 jobs! 2! cuz I dont need this; my man has 2 jobs!! lmboo** omg stfu with that shit lmaoo
UniqueAfrika (Mon, 14 Jun 2010 01:45:26 +0000):	RT @_VeniVediVici_: @UniqueAfrika lmbo!!! yoo I dont need this ish from u... my man has 2 jobs!! 2!!**lmao
UniqueAfrika (Mon, 14 Jun 2010 01:46:31 +0000):	Off this bbl
UniqueAfrika (Mon, 14 Jun 2010 02:11:55 +0000):	Yo I swear I have game for days. Tell these muthafuckers wat they wanna hear.
UniqueAfrika (Mon, 14 Jun 2010 02:16:56 +0000):	RT @_VeniVediVici_: @UniqueAfrika thought u was out..lmbo....but yea man... I agree with that one** lol u peeped everything lol
UniqueAfrika (Mon, 14 Jun 2010 02:21:30 +0000):	So @RealImage on her way to my house and my room is still dirty. O boy she about to start nagging.
UniqueAfrika (Mon, 14 Jun 2010 03:25:29 +0000):	RT @BlipBeven: Who better Young Jeezy or Rick Ross?** rick ross
UniqueAfrika (Mon, 14 Jun 2010 05:22:19 +0000):	I swear I have one of the prettiest small ever. #random
UniqueAfrika (Mon, 14 Jun 2010 12:50:06 +0000):	I'm up for no reason ugh. 2 much on my mind
UniqueAfrika (Mon, 14 Jun 2010 18:25:19 +0000):	@ANTSKILLZ ** lmaooooo whatever.
UniqueAfrika (Mon, 14 Jun 2010 19:17:34 +0000):	She aint got a man, but she not alone.
UniqueAfrika (Mon, 14 Jun 2010 19:18:44 +0000):	Now following @tommyunique
UniqueAfrika (Mon, 14 Jun 2010 19:26:06 +0000):	RT @ANTSKILLZ: Yooo @UniqueAfrika n @RealImage are ICE CREAM assholes urrrgghh lol** lmaooooooooo bbm talk to the hand sign
UniqueAfrika (Mon, 14 Jun 2010 23:44:56 +0000):	Too many squares in the circle so I stepped out.
UniqueAfrika (Tue, 15 Jun 2010 01:24:25 +0000):	I'm off wats good twitter.
UniqueAfrika (Tue, 15 Jun 2010 01:32:33 +0000):	My new pays me every week that's lovely
UniqueAfrika (Tue, 15 Jun 2010 01:34:08 +0000):	Damn Mr. Officer was looking good in that uniform today. #insider. Lol &quot;hey officer&quot; lmao
UniqueAfrika (Tue, 15 Jun 2010 01:41:24 +0000):	RT @RealImage: Lmao! RT @UniqueAfrika: Damn Mr. Officer was looking good in that uniform today. #insider. Lol &quot;hey officer&quot; lmao** lol
UniqueAfrika (Tue, 15 Jun 2010 02:26:52 +0000):	S/O to @_______________ I told him I care and that exactly wat I meant. I just don't trust him. So u kno the rest lol
UniqueAfrika (Tue, 15 Jun 2010 02:46:37 +0000):	RT @RepoDon: #teamblackberry ....... #okand ....ur fone jus froze after that tweet....hit the reset buttun or (cont) http://tl.gd/1sq0k4
UniqueAfrika (Tue, 15 Jun 2010 02:47:37 +0000):	RT @prinban: @UniqueAfrika didn't think that was a real person haha** wat u talking about?
UniqueAfrika (Tue, 15 Jun 2010 02:48:43 +0000):	@RepoDon lmaoooo stfu.
UniqueAfrika (Tue, 15 Jun 2010 03:10:59 +0000):	Ughhhhhhhh
UniqueAfrika (Tue, 15 Jun 2010 09:29:00 +0000):	I'm up idk y tho
UniqueAfrika (Tue, 15 Jun 2010 13:31:47 +0000):	Good luck @RealImage knock em dead. Ur goddaughter need some more sneakers. Lmaooooo. So u gotta get this ish
UniqueAfrika (Tue, 15 Jun 2010 13:32:48 +0000):	RT @ThaRealNJGuttah: Finally good morning RT @UniqueAfrika: I'm up** lol be quiet
UniqueAfrika (Tue, 15 Jun 2010 13:34:12 +0000):	I miss my brother so much
UniqueAfrika (Tue, 15 Jun 2010 13:44:59 +0000):	Hey hey, hey daddy to @rickyrozay I love u babes
UniqueAfrika (Tue, 15 Jun 2010 13:45:35 +0000):	RT @ThaRealNJGuttah: @UniqueAfrika lol say hi to rickross so I can't throw up again today** lmaooo u alredi know the deal. I luv 2. Lol
